seedling_tag,block_id_plot_id,cohort,quadrant,date,tree_sp,status,environment,microsite,diameter_mm,height_cm,ground_bare,ground_ash,ground_litt,ground_rock,ground_basal,ground_wood,ground_other,ground_total,cover_tree,cover_shrub,cover_forb,cover_gram,cover_fern,cover_lupin,shrub_1_cover,shrub_2_cover,shrub_3_cover,shrub_4_cover,shrub_2m_cover,cover_total,shrub_1_sp,shrub_2_sp,shrub_3_sp,shrub_4_sp,shrub_2m_sp,notes,qaqc_done,qaqc_notes,order,paper,collection,square_number,tree_species,qaqc,live_status_spring2024,newgrowth_mm,duplicate,recorder,live_status_spring2024_dnf_did_not_find,new_growth_cm,genetics,dup_id
1066,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,SEGI,Dead,Clump (open),0,2.5,9.1,95,0,5,0.01,0.01,0,0,100,0,0.01,0.01,0.01,0,0,0.01,0,0,0,30,1,CEIN,NONE,NONE,NONE,CEIN,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1152,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,SEGI,Dead,Clump (open),0,2.7,12.3,85,0,10,5,0.01,0,0,100,0.01,0.01,5,0,0,0,0.01,0,0,0,20,5,CEIN,NONE,NONE,NONE,CEIN,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1150,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,SEGI,Dead,Clump (open),0,2.3,11.1,85,0.01,15,0.01,0.01,0,0,100,0,5,5,0,0,0,5,0,0,0,30,5,CEIN,NONE,NONE,NONE,CEIN,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1115,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,SEGI,Dead,Overtopped,NA,2.7,10,10,0,75,0,5,10,0,100,0,60,0,0,0,0,60,0,0,0,50,60,CEIN,NONE,NONE,NONE,CEIN,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1116,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,PIPO,Live,Open,NA,2.7,16.8,90,0,5,5,0.01,0,0,100,0,0,0.01,0,0,0,0,0,0,0,20,1,NONE,NONE,NONE,NONE,CEIN,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1051,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,SEGI,Dead,Overtopped,0,2.3,2.7,25,0,75,0.01,0.01,0,0,100,0,20,5,0.01,0,0.01,20,0.01,0,0,35,25,CEPA,CEIN,NONE,NONE,CEPA,"broken top, small stick only left",FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1164,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,PILA,Dead,Open,NA,2.9,17.2,60,0,10,30,0.01,0,0,100,0,15,0.01,0,0,0,5,10,0,0,20,15,CECO,CEPA,NONE,NONE,CEPA,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1138,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,SEGI,Dead,Overtopped,NA,1.7,8.1,5,0,95,0.01,0.01,0,0,100,0,15,85,0,0,0,0.01,15,0,0,75,90,CEIN,CEPA,NONE,NONE,CEPA,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1071,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,PILA,Live,Open,NA,3,14,75,0,10,15,0.01,0,0,100,0,5,5,0,0,0,5,0.01,0,0,35,10,RULE,CEPA,NONE,NONE,CEPA,Y-STEM,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1172,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,PIJE,Live,Open,NA,2.8,12.5,75,0,20,5,0.01,0,0,100,0,30,0.01,0,0,0,0.01,30,0,0,50,30,RULE,CEPA,NONE,NONE,CEPA,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1140,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,SEGI,Dead,Open,NA,2.2,9.8,80,0,5,10,0.01,5,0,100,0,0.01,0.01,0,0,0,0.01,0,0,0,30,1,CEPA,NONE,NONE,NONE,CEPA,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1162,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,SEGI,Dead,Open,depression,2.3,11.4,30,0,30,40,0.01,0,0,100,0,0.01,5,0.01,0,0,0.01,0,0,0,35,5,CEPA,NONE,NONE,NONE,CEPA,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1141,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,PILA,Dead,Open,NA,2.2,7.4,70,0,20,10,0.01,0.01,0,100,0,10,0,0,0,0,10,0,0,0,55,10,CEPA,NONE,NONE,NONE,CEPA,BROKEN TOP,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5495,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,PIJE,Dead,Open,NA,2.2,12.2,50,0,40,10,0.01,0,0,100,0,25,5,0,0,0,25,0,0,0,35,30,CEPA,NONE,NONE,NONE,CEPA,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1137,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,SEGI,Dead,Clump (open),NA,2.4,9.6,50,0,50,0.01,0.01,0,0,100,0,0.01,35,0,0,0,0.01,0,0,0,20,35,CEPA,NONE,NONE,NONE,CEPA,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1135,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,SEGI,Dead,Clump (open),NA,2.1,7.9,45,0,55,0.01,0.01,0,0,100,0.01,0.01,40,0,0,0,0.01,0,0,0,20,40,CEPA,NONE,NONE,NONE,CEPA,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1177,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,PIPO,Live,Open,NA,2.5,17.2,0,0,95,5,0.01,0,0,100,0,40,0,0,0,0,40,0,0,0,85,40,CEPA,NONE,NONE,NONE,CEPA,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5157,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,SEGI,Dead,Overtopped,0,2.8,12.2,5,0,85,0,0.01,10,0,100,0,40,0,0,0,0,40,0,0,0,90,40,CEPA,NONE,NONE,NONE,CEPA,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1142,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,SEGI,Dead,Overtopped,NA,2.2,9.2,5,0,85,0,0.01,10,0,100,0,70,0,0,0,0,70,0,0,0,60,70,CEPA,NONE,NONE,NONE,CEPA,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5952,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,SEGI,Dead,Open,0,2.3,8.4,80,0,20,0.01,0.01,0,0,100,0,10,70,0.01,0,0,10,0,0,0,0.01,75,CEPA,NONE,NONE,NONE,CEPA,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1179,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,PILA,Live,Overtopped,NA,2.9,24.3,5,0,75,20,0.01,0,0,100,0.01,90,0,0,0,0,90,0,0,0,70,90,CEPA,NONE,NONE,NONE,CEPA,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1178,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,SEGI,Dead,Overtopped,NA,2.1,10.2,30,0,70,0,0.01,0,0,100,0,95,0,0,0,0,95,0,0,0,90,95,CEPA,NONE,NONE,NONE,CEPA,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1185,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,PIPO,Dead,Open,NA,2.4,11.9,75,0,20,5,0.01,0,0,100,0,0,25,5,0,0,0,0,0,0,40,30,NONE,NONE,NONE,NONE,CEPA,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1133,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,SEGI,Dead,Clump (open),NA,2.8,14.2,5,0,85,10,0.01,0,0,100,0,0,80,0,0,0,0,0,0,0,20,80,NONE,NONE,NONE,NONE,CEPA,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1134,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,SEGI,Dead,Clump (open),NA,2.2,8.7,10,0,85,0,0.01,5,0,100,0,0,90,0,0,0,0,0,0,0,20,90,NONE,NONE,NONE,NONE,CEPA,BROKEN TOP,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1136,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,SEGI,Dead,Clump (open),NA,2.6,10,5,0,90,0,0.01,5,0,100,0,0,90,0,0,0,0,0,0,0,20,90,NONE,NONE,NONE,NONE,CEPA,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1054,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,SEGI,Dead,Overtopped,0,1.8,9.4,5,0,80,15,0.01,0,0,100,0,40,5,0.01,0,0,35,5,0.01,0,15,45,CEPA,CEIN,RULE,NONE,CEPA,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5110,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,SEGI,Dead,Overtopped,0,2,10,35,0,35,30,0.01,0,0,100,0,35,0.01,0,0,0,30,15,0,0,30,35,COCO,CEPA,NONE,NONE,COCO,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1079,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,PILA,Live,Overtopped,0,19.6,2.5,60,0,40,0.01,0.01,0,0,100,0.01,85,0,0,0,0,85,0.01,0,0,40,85,COCO,CEPA,NONE,NONE,COCO,very sad,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1197,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,SEGI,Dead,Clump (open),NA,1.6,7.2,85,0,5,10,0.01,0,0,100,0,5,5,0,0,0,0.01,0.01,0,0,40,10,CEPA,COCO,NONE,NONE,COCO,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1193,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,SEGI,Dead,Open,NA,1.9,6.2,40,0,20,40,0.01,0,0,100,0,50,0.01,0,0,0,15,35,0,0,55,50,CEPA,COCO,NONE,NONE,COCO,BROKEN TOP,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1147,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,PIPOJE,Dead,Overtopped,0,3.1,11.9,65,10,10,15,0.01,0,0,100,0,15,0.01,0,0,0,15,5,0,0,70,15,RULE,COCO,NONE,NONE,COCO,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1195,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,SEGI,Dead,Clump (overtopped),NA,1.3,6.4,65,0,20,15,0.01,0,0,100,0,0.01,45,0,0,0,45,0,0,0,40,45,CEIN,NONE,NONE,NONE,COCO,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1114,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,SEGI,Dead,Overtopped,NA,1.9,6.6,0,0,65,35,0.01,0,0,100,0,90,0.01,0,0,0,90,0,0,0,50,90,COCO,NONE,NONE,NONE,COCO,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1192,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,PIJE,Dead,Overtopped,NA,2.3,15.4,0.01,0,80,20,0.01,0,0,100,0,100,0,0,0,0,100,0,0,0,90,100,COCO,NONE,NONE,NONE,COCO,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1131,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,SEGI,Dead,Overtopped,0,2.2,3.6,10,0,30,20,0.01,40,0,100,0,30,0.01,0.01,0,0,20,10,5,0,40,30,COCO,CEIN,RULE,NONE,COCO,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1156,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,SEGI,Dead,Open,0,3,11.9,75,0.01,10,10,0.01,5,0,100,5,5,15,0,0,0,5,0,0,0,10,15,RULE,NONE,NONE,NONE,RULE,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5167,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,PIPO,Dead,Open,NA,2.1,9.2,95,0,5,0.01,0.01,0,0,100,0,15,5,5,0,0,15,0,0,0,50,25,RULE,NONE,NONE,NONE,RULE,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5164,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,SEGI,Dead,Open,NA,2,11,10,0,90,0,0.01,0,0,100,0,10,50,0,0,0,10,0,0,0,90,60,RULE,NONE,NONE,NONE,RULE,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5174,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,SEGI,Dead,Open,NA,2.3,11.5,80,0,10,0,0.01,5,5,100,0,65,0,0,0,0,65,0,0,0,70,65,RULE,NONE,NONE,NONE,RULE,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1144,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,PIPO,Live,Open,NA,3.1,14.6,60,0,40,0.01,0.01,0,0,100,0,60,0.01,0,0,0,60,0,0,0,70,60,COCO,NONE,NONE,NONE,RUPA,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5986,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,SEGI,Dead,Open,NA,2.5,8.4,80,0,20,0.01,0.01,0,0,100,0,0.01,0,0,0,40,0.01,0,0,0,15,40,ROBR,NONE,NONE,NONE,RUPA,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5104,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,SEGI,Dead,Clump (open),0,1.9,3.8,95,0,5,0.01,0.01,0,0,100,0.01,0.01,5,0.01,0,0,0.01,0,0,0,35,5,RUPA,NONE,NONE,NONE,RUPA,"broken top, only stick left",FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1069,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,SEGI,Dead,Open,NA,3,10.7,75,0,25,0,0.01,0,0.01,100,0,10,0,0.01,0,0,10,0,0,0,40,10,RUPA,NONE,NONE,NONE,RUPA,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1129,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,PIJE,Live,Open,0,2.8,14.5,80,0,10,0.01,10,0,0,100,10,15,0.01,0.01,0,0,15,0,0,0,35,20,RUPA,NONE,NONE,NONE,RUPA,sad,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1157,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,SEGI,Dead,Overtopped,0,3.3,8.1,10,0,90,0,0.01,0.01,0,100,0,45,0.01,0,0,0,35,25,0,0,80,45,RUPA,RULE,NONE,NONE,RUPA,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1070,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,SEGI,Dead,Overtopped,NA,2.6,9.5,75,0,20,5,0.01,0,0,100,0,25,0,0,0,60,20,5,0,0,60,85,RUPA,RULE,NONE,NONE,RUPA,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1143,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,SEGI,Dead,Open,NA,1.8,7.9,70,0,15,15,0.01,0,0,100,0,45,0.01,0,0,0,0.01,45,0,0,90,45,CEPA,RUPA,NONE,NONE,RUPA,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1119,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,PILA,Dead,Overtopped,NA,2.6,19,75,0,10,15,0.01,0,0,100,0,45,20,0,0,0,5,40,0,0,45,65,RULE,RUPA,NONE,NONE,RUPA,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1117,REMO-EXP-E3L,2023,NA,2024-10-10T00:00:00Z,SEGI,Dead,Overtopped,NA,2.1,10.9,10,0,75,15,0.01,0,0,100,0,60,0,0,0,0,5,15,40,0,65,60,CEPA,CEIN,RUPA,NONE,RUPA,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4809,REMO-EXP-E3NL,2023,NA,2024-10-11T00:00:00Z,PIJE,Live,Overtopped,0,2.3,19.2,30,0,60,5,5,0,0.01,100,0,80,0.01,0,0,0,80,5,0,0,75,80,CEIN,ARVI,NONE,NONE,CEIN,NA,FALSE,"ground cover total was 110%, changed litt from 70% to 60%",NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4844,REMO-EXP-E3NL,2023,NA,2024-10-11T00:00:00Z,SEGI,Dead,Open,0,4,18.6,20,0,65,10,0.01,5,0,100,0.01,25,10,0.01,0,0,15,10,0,0,60,35,RULE,CEIN,NONE,NONE,RULE,NA,FALSE,"ground cover total was 110%, changed litt from 75% to 65%",NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5448,REMO-EXP-E3NL,2023,NA,2024-10-11T00:00:00Z,SEGI,Live,Clump (open),0,5.5,30.2,85,0.01,15,0.01,0.01,0,0,100,0.01,0.01,5,0,0,0,0.01,0,0,0,15,5,CEIN,NONE,NONE,NONE,CECO,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4901,REMO-EXP-E3NL,2023,NA,2024-10-11T00:00:00Z,SEGI,Dead,Open,0,3.9,22.2,80,0,20,0,0.01,0,0,100,0,15,0,0,0,0,5,10,5,0,50,15,RULE,ROBR,CEIN,NONE,CEIN,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4819,REMO-EXP-E3NL,2023,NA,2024-10-11T00:00:00Z,PILA,Dead,Overtopped,0,2.3,17,5,0,90,0,5,0,0.01,100,0,30,0,0,0,0,25,5,10,0,55,30,CEIN,RULE,CEPA,NONE,CEIN,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4994,REMO-EXP-E3NL,2023,NA,2024-10-11T00:00:00Z,SEGI,Dead,Open,0,4.3,26.5,35,0,60,0,0.01,5,0,100,0,45,0,0,0,0,0.01,25,20,0,80,45,CEIN,RULE,COCO,NONE,CEIN,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4909,REMO-EXP-E3NL,2023,NA,2024-10-11T00:00:00Z,SEGI,Dead,Clump (open),0,3.2,22,30,0,70,0,0.01,0,0,100,0.01,15,0,0,0,0,0.01,15,0,0,40,15,ROBR,CEIN,NONE,NONE,CEIN,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4849,REMO-EXP-E3NL,2023,NA,2024-10-11T00:00:00Z,SEGI,Live,Clump (open),0,4.8,26.7,75,0,25,0,0.01,0,0,100,0,40,0,0,0,0,30,100,0,0,20,40,ROBR,CEIN,NONE,NONE,CEIN,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5425,REMO-EXP-E3NL,2023,NA,2024-10-11T00:00:00Z,PIPO,Dead,Open,0,1.9,11.5,40,0,60,0,0.01,0,0,100,0,10,40,0,0,0,5,5,0,0,20,45,ROBR,CEIN,NONE,NONE,CEIN,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4959,REMO-EXP-E3NL,2023,NA,2024-10-11T00:00:00Z,SEGI,Dead,Open,0,3.9,18,95,0,5,0.01,0.01,0,0,100,0,15,0,0,0,0,15,0.01,0,0,30,15,RULE,CEIN,NONE,NONE,CEIN,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4879,REMO-EXP-E3NL,2023,NA,2024-10-11T00:00:00Z,PILA,Dead,Overtopped,0,2.6,14.5,10,0,80,0,5,5,0.01,100,0,80,0,0,0,0,20,60,0,0,85,80,RULE,CEIN,NONE,NONE,CEIN,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5198,REMO-EXP-E3NL,2023,NA,2024-10-11T00:00:00Z,SEGI,Dead,Open,0,4.8,27.6,45,0,45,0,0.01,10,0,100,0,5,0,0,0,0,5,0.01,0,0,65,5,RUPA,CEIN,NONE,NONE,CEIN,NA,FALSE,NA,NA,NA,fall2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
